prefecture,ranking,city,land_price,ping_unit_price,change
東京都の,1位,中央区,551万3904円/m2,1822万7784円/坪,+8.29％
東京都の,2位,千代田区,513万5088円/m2,1697万5500円/坪,+5.32％
東京都の,3位,港区,306万5478円/m2,1013万3812円/坪,+10.97％
東京都の,4位,渋谷区,279万9488円/m2,925万4506円/坪,+9.41％
東京都の,5位,新宿区,272万3362円/m2,900万2852円/坪,+3.02％
東京都の,6位,豊島区,119万7328円/m2,395万8112円/坪,+0.41％
東京都の,7位,台東区,108万3102円/m2,358万0504円/坪,-5.00％
東京都の,8位,目黒区,100万0887円/m2,330万8717円/坪,-0.91％
東京都の,9位,文京区,99万5246円/m2,329万0070円/坪,+2.40％
東京都の,10位,品川区,92万6790円/m2,306万3768円/坪,+0.22％
東京都の,11位,武蔵野市,89万5956円/m2,296万1839円/坪,+1.02％
東京都の,12位,中野区,66万9768円/m2,221万4109円/坪,+1.28％
東京都の,13位,世田谷区,60万4110円/m2,199万7057円/坪,+1.11％
東京都の,14位,杉並区,54万8902円/m2,181万4553円/坪,+0.47％
東京都の,15位,大田区,54万3185円/m2,179万5653円/坪,+1.05％
東京都の,16位,北区,53万3205円/m2,176万2662円/坪,-3.21％
東京都の,17位,荒川区,50万7380円/m2,167万7292円/坪,-0.76％
東京都の,18位,墨田区,50万0488円/m2,165万4507円/坪,+1.30％
東京都の,19位,三鷹市,49万2810円/m2,162万9125円/坪,+0.82％
東京都の,20位,江東区,49万2150円/m2,162万6944円/坪,+1.62％
東京都の,21位,立川市,47万5783円/m2,157万2837円/坪,-0.91％
東京都の,22位,板橋区,43万3693円/m2,143万3696円/坪,+0.13％
東京都の,23位,練馬区,40万0625円/m2,132万4382円/坪,-0.83％
東京都の,24位,小金井市,38万5676円/m2,127万4963円/坪,-1.86％
秋田県,1位,秋田市,3万7166円/m2,12万2862円/坪,-2.62％
東京都の,25位,国分寺市,37万9787円/m2,125万5497円/坪,+0.05％
東京都の,26位,調布市,37万3313円/m2,123万4093円/坪,+0.88％
東京都の,27位,江戸川区,35万4930円/m2,117万3324円/坪,-0.29％
東京都の,28位,国立市,35万3000円/m2,116万6942円/坪,+0.79％
東京都の,29位,葛飾区,33万1406円/m2,109万5558円/坪,-1.07％
東京都の,30位,足立区,33万1073円/m2,109万4457円/坪,-2.32％
東京都の,31位,府中市,32万2209円/m2,106万5156円/坪,-0.75％
東京都の,32位,狛江市,31万8350円/m2,105万2396円/坪,-0.50％
秋田県,2位,大館市,1万6283円/m2,5万3829円/坪,-2.60％
秋田県,3位,由利本荘市,1万5477円/m2,5万1166円/坪,-0.20％
秋田県,4位,にかほ市,1万5333円/m2,5万0688円/坪,-4.10％
秋田県,5位,鹿角市,1万5187円/m2,5万0206円/坪,-3.61％
秋田県,6位,仙北市,1万4886円/m2,4万9210円/坪,-4.88％
秋田県,7位,大仙市,1万4838円/m2,4万9052円/坪,-3.74％
鳥取県,1位,鳥取市,4万1659円/m2,13万7717円/坪,-1.15％
鳥取県,2位,米子市,3万7473円/m2,12万3878円/坪,-1.75％
鳥取県,3位,日吉津村,2万8075円/m2,9万2809円/坪,-0.53％
鳥取県,4位,倉吉市,2万5800円/m2,8万5289円/坪,-1.08％
福島県,1位,郡山市,5万7031円/m2,18万8532円/坪,+2.02％
東京都の,33位,西東京市,28万9482円/m2,95万6965円/坪,+0.53％
東京都の,34位,小平市,23万8704円/m2,78万9107円/坪,+0.43％
東京都の,35位,町田市,23万3136円/m2,77万0697円/坪,-0.20％
東京都の,36位,多摩市,21万8892円/m2,72万3612円/坪,-2.21％
東京都の,37位,東久留米市,21万6358円/m2,71万5236円/坪,-0.60％
東京都の,38位,稲城市,21万1911円/m2,70万0532円/坪,+1.46％
東京都の,39位,清瀬市,20万9033円/m2,69万1019円/坪,-1.33％
東京都の,40位,日野市,20万8343円/m2,68万8739円/坪,+0.61％
